id,name,set,setId,date,circulation
43f78b21-1f4a-443c-92cb-81a35b7ca28e,Dejounte Murray,Metallic Gold LE,33a4a3a3-a32c-4925-a4e8-7d24e56b105e,2020-12-28T00:00:00Z,499
681b6cae-7724-4475-a101-b2fb5ca7f516,Marquese Chriss,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-02-09T01:30:00Z,299
1d307d9a-aed4-48cd-864a-7691c23f6025,Bruce Brown,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-02-24T02:00:00Z,3339
1d307d9a-aed4-48cd-864a-7691c23f6025,Bruce Brown,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-02-24T02:00:00Z,299
4c21a774-5e77-4f3a-b414-617f0cc42f74,Jonas Valančiūnas,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-12T23:00:00Z,299
1fc9b2f1-d444-4645-a12a-7d0500214fa2,Trevor Ariza,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-27T02:00:00Z,299
50fde806-fe34-4a47-b48e-7c5b3dbcff4e,Steven Adams,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-12-07T01:00:00Z,150
e1acc264-12fa-47d5-aa6f-291e53158cd0,Bol Bol,So Fresh,5f85e04f-798f-434c-89d4-2b0a575bd652,2020-08-07T00:00:00Z,250
c1b49c28-dfb9-4dd5-83b7-91b73f99f088,Russell Westbrook,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-03-11T00:00:00Z,2925
7e5ac838-7886-4374-aa6e-6c58736139a0,Jae Crowder,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-10-04T23:30:00Z,1240
6aaed757-2d22-44c7-8f64-e7a46ca0c13e,Bojan Bogdanović,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-02-10T00:00:00Z,299
9c0cd57c-8203-4ec1-9a0c-9b7e7a6f0635,Bogdan Bogdanović,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-10-29T02:00:00Z,3345
45e0e8c4-a281-40b1-91fd-c777300a29ed,DeAndre Jordan,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-03T01:30:00Z,299
9b94ef4d-920f-42d6-a301-7c1748ab431b,Boban Marjanovic,So Fresh,5f85e04f-798f-434c-89d4-2b0a575bd652,2020-08-03T01:00:00Z,250
878aa6c2-2a72-4037-a65f-056fc9ad2d7a,Anderson Varejão,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2014-01-23T00:00:00Z,275
1f76a9fc-9422-45bf-92fc-3d07dd0240fe,Mo Williams,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2014-05-09T01:30:00Z,275
90039c38-bba5-415e-9a75-645587e689d9,Bam Adebayo,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-08-18T20:00:00Z,1611
7a29961e-ed7c-45a7-8cd5-6b6bc4a84c08,Kevin Garnett,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2014-01-25T00:30:00Z,275
aefc2852-2bce-46d6-87f1-0ad0e5b27169,Austin Rivers,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-10-29T00:00:00Z,299
1e2f34bd-41bb-41c8-87d2-7a05c1873a86,Chris Bosh,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2013-12-29T03:00:00Z,275
e1acc264-12fa-47d5-aa6f-291e53158cd0,Bol Bol,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-08-07T00:00:00Z,299
46c3dcd4-0513-47ae-88f3-5cb9465c5e4b,Kevin Durant,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2014-03-21T23:00:00Z,209
9939a2dc-7c95-4c02-b747-9fee26c9d040,Zach LaVine,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-11-24T00:00:00Z,150
